time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2018-01-01T09:00:00Z,10.93,-85.81,26.826
2018-01-01T09:00:00Z,10.93,-85.8,NaN
2018-01-01T09:00:00Z,10.93,-85.79,NaN
2018-01-01T09:00:00Z,10.93,-85.78,NaN
2018-01-01T09:00:00Z,10.94,-85.81,26.763
2018-01-01T09:00:00Z,10.94,-85.8,26.763
2018-01-01T09:00:00Z,10.94,-85.79,NaN
2018-01-01T09:00:00Z,10.94,-85.78,26.759
2018-01-01T09:00:00Z,10.95,-85.81,26.701
2018-01-01T09:00:00Z,10.95,-85.8,26.703
2018-01-01T09:00:00Z,10.95,-85.79,26.704
2018-01-01T09:00:00Z,10.95,-85.78,26.704
2018-01-02T09:00:00Z,10.93,-85.81,26.935
2018-01-02T09:00:00Z,10.93,-85.8,NaN
2018-01-02T09:00:00Z,10.93,-85.79,NaN
2018-01-02T09:00:00Z,10.93,-85.78,NaN
2018-01-02T09:00:00Z,10.94,-85.81,26.865
2018-01-02T09:00:00Z,10.94,-85.8,26.868
2018-01-02T09:00:00Z,10.94,-85.79,NaN
2018-01-02T09:00:00Z,10.94,-85.78,26.87
2018-01-02T09:00:00Z,10.95,-85.81,26.796
2018-01-02T09:00:00Z,10.95,-85.8,26.802
2018-01-02T09:00:00Z,10.95,-85.79,26.807
2018-01-02T09:00:00Z,10.95,-85.78,26.809
2018-01-03T09:00:00Z,10.93,-85.81,26.776
2018-01-03T09:00:00Z,10.93,-85.8,NaN
2018-01-03T09:00:00Z,10.93,-85.79,NaN
2018-01-03T09:00:00Z,10.93,-85.78,NaN
2018-01-03T09:00:00Z,10.94,-85.81,26.711
2018-01-03T09:00:00Z,10.94,-85.8,26.715
2018-01-03T09:00:00Z,10.94,-85.79,NaN
2018-01-03T09:00:00Z,10.94,-85.78,26.717
2018-01-03T09:00:00Z,10.95,-85.81,26.647
2018-01-03T09:00:00Z,10.95,-85.8,26.653
2018-01-03T09:00:00Z,10.95,-85.79,26.658
2018-01-03T09:00:00Z,10.95,-85.78,26.661
2018-01-04T09:00:00Z,10.93,-85.81,26.023
2018-01-04T09:00:00Z,10.93,-85.8,NaN
2018-01-04T09:00:00Z,10.93,-85.79,NaN
2018-01-04T09:00:00Z,10.93,-85.78,NaN
2018-01-04T09:00:00Z,10.94,-85.81,25.983
2018-01-04T09:00:00Z,10.94,-85.8,26.005
2018-01-04T09:00:00Z,10.94,-85.79,NaN
2018-01-04T09:00:00Z,10.94,-85.78,26.05
2018-01-04T09:00:00Z,10.95,-85.81,25.943
2018-01-04T09:00:00Z,10.95,-85.8,25.967
2018-01-04T09:00:00Z,10.95,-85.79,25.991
2018-01-04T09:00:00Z,10.95,-85.78,26.015
2018-01-05T09:00:00Z,10.93,-85.81,24.786
2018-01-05T09:00:00Z,10.93,-85.8,NaN
2018-01-05T09:00:00Z,10.93,-85.79,NaN
2018-01-05T09:00:00Z,10.93,-85.78,NaN
2018-01-05T09:00:00Z,10.94,-85.81,24.763
2018-01-05T09:00:00Z,10.94,-85.8,24.789
2018-01-05T09:00:00Z,10.94,-85.79,NaN
2018-01-05T09:00:00Z,10.94,-85.78,24.848
2018-01-05T09:00:00Z,10.95,-85.81,24.741
2018-01-05T09:00:00Z,10.95,-85.8,24.768
2018-01-05T09:00:00Z,10.95,-85.79,24.798
2018-01-05T09:00:00Z,10.95,-85.78,24.829
2018-01-06T09:00:00Z,10.93,-85.81,24.551
2018-01-06T09:00:00Z,10.93,-85.8,NaN
2018-01-06T09:00:00Z,10.93,-85.79,NaN
2018-01-06T09:00:00Z,10.93,-85.78,NaN
2018-01-06T09:00:00Z,10.94,-85.81,24.541
2018-01-06T09:00:00Z,10.94,-85.8,24.575
2018-01-06T09:00:00Z,10.94,-85.79,NaN
2018-01-06T09:00:00Z,10.94,-85.78,24.644
2018-01-06T09:00:00Z,10.95,-85.81,24.533
2018-01-06T09:00:00Z,10.95,-85.8,24.566
2018-01-06T09:00:00Z,10.95,-85.79,24.6
2018-01-06T09:00:00Z,10.95,-85.78,24.636
2018-01-07T09:00:00Z,10.93,-85.81,24.564
2018-01-07T09:00:00Z,10.93,-85.8,NaN
2018-01-07T09:00:00Z,10.93,-85.79,NaN
2018-01-07T09:00:00Z,10.93,-85.78,NaN
2018-01-07T09:00:00Z,10.94,-85.81,24.559
2018-01-07T09:00:00Z,10.94,-85.8,24.59
2018-01-07T09:00:00Z,10.94,-85.79,NaN
2018-01-07T09:00:00Z,10.94,-85.78,24.646
2018-01-07T09:00:00Z,10.95,-85.81,24.554
2018-01-07T09:00:00Z,10.95,-85.8,24.584
2018-01-07T09:00:00Z,10.95,-85.79,24.612
2018-01-07T09:00:00Z,10.95,-85.78,24.64
2018-01-08T09:00:00Z,10.93,-85.81,25.891
2018-01-08T09:00:00Z,10.93,-85.8,NaN
2018-01-08T09:00:00Z,10.93,-85.79,NaN
2018-01-08T09:00:00Z,10.93,-85.78,NaN
2018-01-08T09:00:00Z,10.94,-85.81,25.87
2018-01-08T09:00:00Z,10.94,-85.8,25.882
2018-01-08T09:00:00Z,10.94,-85.79,NaN
2018-01-08T09:00:00Z,10.94,-85.78,25.908
2018-01-08T09:00:00Z,10.95,-85.81,25.848
2018-01-08T09:00:00Z,10.95,-85.8,25.858
2018-01-08T09:00:00Z,10.95,-85.79,25.869
2018-01-08T09:00:00Z,10.95,-85.78,25.88
2018-01-09T09:00:00Z,10.93,-85.81,26.137
2018-01-09T09:00:00Z,10.93,-85.8,NaN
2018-01-09T09:00:00Z,10.93,-85.79,NaN
2018-01-09T09:00:00Z,10.93,-85.78,NaN
2018-01-09T09:00:00Z,10.94,-85.81,26.101
2018-01-09T09:00:00Z,10.94,-85.8,26.105
2018-01-09T09:00:00Z,10.94,-85.79,NaN
2018-01-09T09:00:00Z,10.94,-85.78,26.126
2018-01-09T09:00:00Z,10.95,-85.81,26.07
2018-01-09T09:00:00Z,10.95,-85.8,26.073
2018-01-09T09:00:00Z,10.95,-85.79,26.08
2018-01-09T09:00:00Z,10.95,-85.78,26.093
2018-01-10T09:00:00Z,10.93,-85.81,26.334
2018-01-10T09:00:00Z,10.93,-85.8,NaN
2018-01-10T09:00:00Z,10.93,-85.79,NaN
2018-01-10T09:00:00Z,10.93,-85.78,NaN
2018-01-10T09:00:00Z,10.94,-85.81,26.312
2018-01-10T09:00:00Z,10.94,-85.8,26.314
2018-01-10T09:00:00Z,10.94,-85.79,NaN
2018-01-10T09:00:00Z,10.94,-85.78,26.326999999999998
2018-01-10T09:00:00Z,10.95,-85.81,26.293
2018-01-10T09:00:00Z,10.95,-85.8,26.294
2018-01-10T09:00:00Z,10.95,-85.79,26.299
2018-01-10T09:00:00Z,10.95,-85.78,26.307
2018-01-11T09:00:00Z,10.93,-85.81,26.859
2018-01-11T09:00:00Z,10.93,-85.8,NaN
2018-01-11T09:00:00Z,10.93,-85.79,NaN
2018-01-11T09:00:00Z,10.93,-85.78,NaN
2018-01-11T09:00:00Z,10.94,-85.81,26.816
2018-01-11T09:00:00Z,10.94,-85.8,26.865
2018-01-11T09:00:00Z,10.94,-85.79,NaN
2018-01-11T09:00:00Z,10.94,-85.78,26.953
2018-01-11T09:00:00Z,10.95,-85.81,26.776
2018-01-11T09:00:00Z,10.95,-85.8,26.83
2018-01-11T09:00:00Z,10.95,-85.79,26.881
2018-01-11T09:00:00Z,10.95,-85.78,26.926
2018-01-12T09:00:00Z,10.93,-85.81,27.903
2018-01-12T09:00:00Z,10.93,-85.8,NaN
2018-01-12T09:00:00Z,10.93,-85.79,NaN
2018-01-12T09:00:00Z,10.93,-85.78,NaN
2018-01-12T09:00:00Z,10.94,-85.81,27.905
2018-01-12T09:00:00Z,10.94,-85.8,27.921
2018-01-12T09:00:00Z,10.94,-85.79,NaN
2018-01-12T09:00:00Z,10.94,-85.78,27.923000000000002
2018-01-12T09:00:00Z,10.95,-85.81,27.912
2018-01-12T09:00:00Z,10.95,-85.8,27.929000000000002
2018-01-12T09:00:00Z,10.95,-85.79,27.931
2018-01-12T09:00:00Z,10.95,-85.78,27.921
2018-01-13T09:00:00Z,10.93,-85.81,27.757
2018-01-13T09:00:00Z,10.93,-85.8,NaN
2018-01-13T09:00:00Z,10.93,-85.79,NaN
2018-01-13T09:00:00Z,10.93,-85.78,NaN
2018-01-13T09:00:00Z,10.94,-85.81,27.762999999999998
2018-01-13T09:00:00Z,10.94,-85.8,27.766
2018-01-13T09:00:00Z,10.94,-85.79,NaN
2018-01-13T09:00:00Z,10.94,-85.78,27.757
2018-01-13T09:00:00Z,10.95,-85.81,27.788
2018-01-13T09:00:00Z,10.95,-85.8,27.789
2018-01-13T09:00:00Z,10.95,-85.79,27.781
2018-01-13T09:00:00Z,10.95,-85.78,27.769
2018-01-14T09:00:00Z,10.93,-85.81,27.240000000000002
2018-01-14T09:00:00Z,10.93,-85.8,NaN
2018-01-14T09:00:00Z,10.93,-85.79,NaN
2018-01-14T09:00:00Z,10.93,-85.78,NaN
2018-01-14T09:00:00Z,10.94,-85.81,27.225
2018-01-14T09:00:00Z,10.94,-85.8,27.216
2018-01-14T09:00:00Z,10.94,-85.79,NaN
2018-01-14T09:00:00Z,10.94,-85.78,27.223
2018-01-14T09:00:00Z,10.95,-85.81,27.215
2018-01-14T09:00:00Z,10.95,-85.8,27.207
2018-01-14T09:00:00Z,10.95,-85.79,27.204
2018-01-14T09:00:00Z,10.95,-85.78,27.217
2018-01-15T09:00:00Z,10.93,-85.81,27.107
2018-01-15T09:00:00Z,10.93,-85.8,NaN
2018-01-15T09:00:00Z,10.93,-85.79,NaN
2018-01-15T09:00:00Z,10.93,-85.78,NaN
2018-01-15T09:00:00Z,10.94,-85.81,27.096
2018-01-15T09:00:00Z,10.94,-85.8,27.091
2018-01-15T09:00:00Z,10.94,-85.79,NaN
2018-01-15T09:00:00Z,10.94,-85.78,27.086
2018-01-15T09:00:00Z,10.95,-85.81,27.082
2018-01-15T09:00:00Z,10.95,-85.8,27.076
2018-01-15T09:00:00Z,10.95,-85.79,27.072
