time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2018-01-01T09:00:00Z,10.58,-98.74,27.01
2018-01-01T09:00:00Z,10.58,-98.73,27.01
2018-01-01T09:00:00Z,10.58,-98.72,27.011
2018-01-01T09:00:00Z,10.58,-98.71,27.012
2018-01-01T09:00:00Z,10.59,-98.74,27.005
2018-01-01T09:00:00Z,10.59,-98.73,27.006
2018-01-01T09:00:00Z,10.59,-98.72,27.006
2018-01-01T09:00:00Z,10.59,-98.71,27.007
2018-01-01T09:00:00Z,10.6,-98.74,27.001
2018-01-01T09:00:00Z,10.6,-98.73,27.001
2018-01-01T09:00:00Z,10.6,-98.72,27.001
2018-01-01T09:00:00Z,10.6,-98.71,27.002
2018-01-01T09:00:00Z,10.61,-98.74,26.996
2018-01-01T09:00:00Z,10.61,-98.73,26.996
2018-01-01T09:00:00Z,10.61,-98.72,26.997
2018-01-01T09:00:00Z,10.61,-98.71,26.997
2018-01-02T09:00:00Z,10.58,-98.74,26.839
2018-01-02T09:00:00Z,10.58,-98.73,26.83
2018-01-02T09:00:00Z,10.58,-98.72,26.817
2018-01-02T09:00:00Z,10.58,-98.71,26.801
2018-01-02T09:00:00Z,10.59,-98.74,26.825
2018-01-02T09:00:00Z,10.59,-98.73,26.815
2018-01-02T09:00:00Z,10.59,-98.72,26.803
2018-01-02T09:00:00Z,10.59,-98.71,26.787
2018-01-02T09:00:00Z,10.6,-98.74,26.811
2018-01-02T09:00:00Z,10.6,-98.73,26.802
2018-01-02T09:00:00Z,10.6,-98.72,26.789
2018-01-02T09:00:00Z,10.6,-98.71,26.774
2018-01-02T09:00:00Z,10.61,-98.74,26.797
2018-01-02T09:00:00Z,10.61,-98.73,26.788
2018-01-02T09:00:00Z,10.61,-98.72,26.777
2018-01-02T09:00:00Z,10.61,-98.71,26.762
2018-01-03T09:00:00Z,10.58,-98.74,26.902
2018-01-03T09:00:00Z,10.58,-98.73,26.915
2018-01-03T09:00:00Z,10.58,-98.72,26.913
2018-01-03T09:00:00Z,10.58,-98.71,26.91
2018-01-03T09:00:00Z,10.59,-98.74,26.889
2018-01-03T09:00:00Z,10.59,-98.73,26.904
2018-01-03T09:00:00Z,10.59,-98.72,26.902
2018-01-03T09:00:00Z,10.59,-98.71,26.896
2018-01-03T09:00:00Z,10.6,-98.74,26.873
2018-01-03T09:00:00Z,10.6,-98.73,26.89
2018-01-03T09:00:00Z,10.6,-98.72,26.89
2018-01-03T09:00:00Z,10.6,-98.71,26.881
2018-01-03T09:00:00Z,10.61,-98.74,26.858
2018-01-03T09:00:00Z,10.61,-98.73,26.876
2018-01-03T09:00:00Z,10.61,-98.72,26.878
2018-01-03T09:00:00Z,10.61,-98.71,26.869
2018-01-04T09:00:00Z,10.58,-98.74,26.848
2018-01-04T09:00:00Z,10.58,-98.73,26.857
2018-01-04T09:00:00Z,10.58,-98.72,26.845
2018-01-04T09:00:00Z,10.58,-98.71,26.836
2018-01-04T09:00:00Z,10.59,-98.74,26.834
2018-01-04T09:00:00Z,10.59,-98.73,26.846
2018-01-04T09:00:00Z,10.59,-98.72,26.833
2018-01-04T09:00:00Z,10.59,-98.71,26.819
2018-01-04T09:00:00Z,10.6,-98.74,26.817
2018-01-04T09:00:00Z,10.6,-98.73,26.832
2018-01-04T09:00:00Z,10.6,-98.72,26.82
2018-01-04T09:00:00Z,10.6,-98.71,26.8
2018-01-04T09:00:00Z,10.61,-98.74,26.801
2018-01-04T09:00:00Z,10.61,-98.73,26.818
2018-01-04T09:00:00Z,10.61,-98.72,26.81
2018-01-04T09:00:00Z,10.61,-98.71,26.786
2018-01-05T09:00:00Z,10.58,-98.74,26.914
2018-01-05T09:00:00Z,10.58,-98.73,26.92
2018-01-05T09:00:00Z,10.58,-98.72,26.92
2018-01-05T09:00:00Z,10.58,-98.71,26.916
2018-01-05T09:00:00Z,10.59,-98.74,26.918
2018-01-05T09:00:00Z,10.59,-98.73,26.924
2018-01-05T09:00:00Z,10.59,-98.72,26.922
2018-01-05T09:00:00Z,10.59,-98.71,26.916
2018-01-05T09:00:00Z,10.6,-98.74,26.918
2018-01-05T09:00:00Z,10.6,-98.73,26.923000000000002
2018-01-05T09:00:00Z,10.6,-98.72,26.921
2018-01-05T09:00:00Z,10.6,-98.71,26.913
2018-01-05T09:00:00Z,10.61,-98.74,26.916
2018-01-05T09:00:00Z,10.61,-98.73,26.92
2018-01-05T09:00:00Z,10.61,-98.72,26.917
2018-01-05T09:00:00Z,10.61,-98.71,26.909
2018-01-06T09:00:00Z,10.58,-98.74,26.845
2018-01-06T09:00:00Z,10.58,-98.73,26.856
2018-01-06T09:00:00Z,10.58,-98.72,26.854
2018-01-06T09:00:00Z,10.58,-98.71,26.847
2018-01-06T09:00:00Z,10.59,-98.74,26.859
2018-01-06T09:00:00Z,10.59,-98.73,26.87
2018-01-06T09:00:00Z,10.59,-98.72,26.869
2018-01-06T09:00:00Z,10.59,-98.71,26.861
2018-01-06T09:00:00Z,10.6,-98.74,26.865
2018-01-06T09:00:00Z,10.6,-98.73,26.876
2018-01-06T09:00:00Z,10.6,-98.72,26.877
2018-01-06T09:00:00Z,10.6,-98.71,26.872
2018-01-06T09:00:00Z,10.61,-98.74,26.866
2018-01-06T09:00:00Z,10.61,-98.73,26.876
2018-01-06T09:00:00Z,10.61,-98.72,26.879
2018-01-06T09:00:00Z,10.61,-98.71,26.877
2018-01-07T09:00:00Z,10.58,-98.74,26.736
2018-01-07T09:00:00Z,10.58,-98.73,26.744
2018-01-07T09:00:00Z,10.58,-98.72,26.744
2018-01-07T09:00:00Z,10.58,-98.71,26.74
2018-01-07T09:00:00Z,10.59,-98.74,26.74
2018-01-07T09:00:00Z,10.59,-98.73,26.749
2018-01-07T09:00:00Z,10.59,-98.72,26.75
2018-01-07T09:00:00Z,10.59,-98.71,26.747
2018-01-07T09:00:00Z,10.6,-98.74,26.748
2018-01-07T09:00:00Z,10.6,-98.73,26.757
2018-01-07T09:00:00Z,10.6,-98.72,26.757
2018-01-07T09:00:00Z,10.6,-98.71,26.758
2018-01-07T09:00:00Z,10.61,-98.74,26.755
2018-01-07T09:00:00Z,10.61,-98.73,26.764
2018-01-07T09:00:00Z,10.61,-98.72,26.764
2018-01-07T09:00:00Z,10.61,-98.71,26.768
2018-01-08T09:00:00Z,10.58,-98.74,26.766
2018-01-08T09:00:00Z,10.58,-98.73,26.765
2018-01-08T09:00:00Z,10.58,-98.72,26.762
2018-01-08T09:00:00Z,10.58,-98.71,26.761
2018-01-08T09:00:00Z,10.59,-98.74,26.76
2018-01-08T09:00:00Z,10.59,-98.73,26.759
2018-01-08T09:00:00Z,10.59,-98.72,26.758
2018-01-08T09:00:00Z,10.59,-98.71,26.759
2018-01-08T09:00:00Z,10.6,-98.74,26.762
2018-01-08T09:00:00Z,10.6,-98.73,26.763
2018-01-08T09:00:00Z,10.6,-98.72,26.763
2018-01-08T09:00:00Z,10.6,-98.71,26.767
2018-01-08T09:00:00Z,10.61,-98.74,26.769
2018-01-08T09:00:00Z,10.61,-98.73,26.772
2018-01-08T09:00:00Z,10.61,-98.72,26.775
2018-01-08T09:00:00Z,10.61,-98.71,26.781
2018-01-09T09:00:00Z,10.58,-98.74,26.791
2018-01-09T09:00:00Z,10.58,-98.73,26.779
2018-01-09T09:00:00Z,10.58,-98.72,26.765
2018-01-09T09:00:00Z,10.58,-98.71,26.757
2018-01-09T09:00:00Z,10.59,-98.74,26.778
2018-01-09T09:00:00Z,10.59,-98.73,26.762
2018-01-09T09:00:00Z,10.59,-98.72,26.749
2018-01-09T09:00:00Z,10.59,-98.71,26.743
2018-01-09T09:00:00Z,10.6,-98.74,26.785
2018-01-09T09:00:00Z,10.6,-98.73,26.771
2018-01-09T09:00:00Z,10.6,-98.72,26.759
2018-01-09T09:00:00Z,10.6,-98.71,26.755
2018-01-09T09:00:00Z,10.61,-98.74,26.801
2018-01-09T09:00:00Z,10.61,-98.73,26.794
2018-01-09T09:00:00Z,10.61,-98.72,26.784
2018-01-09T09:00:00Z,10.61,-98.71,26.782
2018-01-10T09:00:00Z,10.58,-98.74,26.967
2018-01-10T09:00:00Z,10.58,-98.73,26.957
2018-01-10T09:00:00Z,10.58,-98.72,26.943
2018-01-10T09:00:00Z,10.58,-98.71,26.925
2018-01-10T09:00:00Z,10.59,-98.74,26.96
2018-01-10T09:00:00Z,10.59,-98.73,26.948
2018-01-10T09:00:00Z,10.59,-98.72,26.933
2018-01-10T09:00:00Z,10.59,-98.71,26.916
2018-01-10T09:00:00Z,10.6,-98.74,26.951
2018-01-10T09:00:00Z,10.6,-98.73,26.938
